"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2020","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","AUTAUGA","001","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","1,030","2.8"
"SURVEY","2020","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","DALLAS","047","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","5,840","2.6"
"SURVEY","2020","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","LOWNDES","085","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","3,350","1.9"
"SURVEY","2020","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","MACON","087","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","2,160","2.9"
"SURVEY","2020","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","MARENGO","091","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","3,500","2.5"
"SURVEY","2020","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","PERRY","105","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","6,290","2.5"
"SURVEY","2020","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","BALDWIN","003","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","6,300","2.6"
"SURVEY","2020","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","BUTLER","013","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","1,500","2.5"
"SURVEY","2020","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","CONECUH","035","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","800","3.2"
"SURVEY","2020","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","ESCAMBIA","053","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","5,750","2.2"
"SURVEY","2020","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","MONROE","099","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","1,730","3.2"
"SURVEY","2020","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","BLOUNT","009","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","1,910","2.7"
"SURVEY","2020","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","CALHOUN","015","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","1,940","2.7"
"SURVEY","2020","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","CHEROKEE","019","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","4,070","2.5"
"SURVEY","2020","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","CULLMAN","043","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","3,590","2.8"
"SURVEY","2020","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","DE KALB","049","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","14,000","2.5"
"SURVEY","2020","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","ETOWAH","055","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","2,540","2.9"
